message,label
Dinner at my place around 8:00 PM?,0
Congratulations! You've won a ₹1970 prize. Click here to claim.,1
Earn ₹1656/day from home. Limited spots!,1
KYC update required. Click the link to avoid service blockage.,1
Get free gift card. Just provide your card details.,1
Can you pick up some groceries on your way home?,0
Earn ₹1218/day from home. Limited spots!,1
Let's meet at 5:00 PM for the project discussion.,0
I uploaded the file to the shared drive.,0
Earn ₹1781/day from home. Limited spots!,1
Suspicious login detected on your Facebook account. Reset password now.,1
I uploaded the file to the shared drive.,0
Can you pick up some groceries on your way home?,0
Let's meet at 5:00 PM for the project discussion.,0
Electricity bill due: Pay ₹2928 to avoid disconnection.,1
Meeting rescheduled to 10:00 AM. Please confirm.,0
"Dear user, your wallet account is at risk. Verify now to avoid suspension.",1
Don't forget your homework for math tomorrow.,0
Can you pick up some groceries on your way home?,0
Dinner at my place around 8:00 PM?,0
Dinner at my place around 2:30 PM?,0
Your loan of ₹723 has been approved. Pay ₹345 processing fee.,1
Congratulations! You've won a ₹4890 prize. Click here to claim.,1
Let me know once you're done with the assignment.,0
Congratulations! You've won a ₹797 prize. Click here to claim.,1
Dinner at my place around 2:30 PM?,0
Your loan of ₹2081 has been approved. Pay ₹476 processing fee.,1
Thanks for your help today!,0
Reminder: Your class starts at 5:00 PM.,0
Don't forget your homework for English tomorrow.,0
Suspicious login detected on your Google account. Reset password now.,1
Electricity bill due: Pay ₹3499 to avoid disconnection.,1
Earn ₹1538/day from home. Limited spots!,1
Get free gift card. Just provide your card details.,1
Thanks for your help today!,0
Suspicious login detected on your Netflix account. Reset password now.,1
Let me know once you're done with the assignment.,0
Get free free subscription. Just provide your card details.,1
Earn ₹1940/day from home. Limited spots!,1
Happy Birthday! Hope you have an awesome day 🎉,0
Reminder: Your class starts at 10:00 AM.,0
"Dear user, your bank account is at risk. Verify now to avoid suspension.",1
Happy Birthday! Hope you have an awesome day 🎉,0
Electricity bill due: Pay ₹2279 to avoid disconnection.,1
Reminder: Your class starts at 10:00 AM.,0
Get free mobile recharge. Just provide your card details.,1
Your loan of ₹2614 has been approved. Pay ₹299 processing fee.,1
"Dear user, your Aadhaar account is at risk. Verify now to avoid suspension.",1
"Dear user, your bank account is at risk. Verify now to avoid suspension.",1
Your loan of ₹2164 has been approved. Pay ₹155 processing fee.,1
"Dear user, your Aadhaar account is at risk. Verify now to avoid suspension.",1
Happy Birthday! Hope you have an awesome day 🎉,0
Suspicious login detected on your Netflix account. Reset password now.,1
I uploaded the file to the shared drive.,0
Your Aadhaar refund is ready. Enter UPI to receive.,1
Happy Birthday! Hope you have an awesome day 🎉,0
Suspicious login detected on your Amazon account. Reset password now.,1
Don't forget your homework for English tomorrow.,0
Your loan of ₹3653 has been approved. Pay ₹572 processing fee.,1
KYC update required. Click the link to avoid service blockage.,1
Your loan of ₹4363 has been approved. Pay ₹282 processing fee.,1
Dinner at my place around 10:00 AM?,0
Happy Birthday! Hope you have an awesome day 🎉,0
Your payment refund is ready. Enter UPI to receive.,1
Your payment refund is ready. Enter UPI to receive.,1
Don't forget your homework for English tomorrow.,0
Get free free subscription. Just provide your card details.,1
Let's meet at 10:00 AM for the project discussion.,0
Let's meet at 5:00 PM for the project discussion.,0
Electricity bill due: Pay ₹3348 to avoid disconnection.,1
Thanks for your help today!,0
"Dear user, your SIM account is at risk. Verify now to avoid suspension.",1
Congratulations! You've won a ₹2834 prize. Click here to claim.,1
Your loan of ₹635 has been approved. Pay ₹987 processing fee.,1
Congratulations! You've won a ₹959 prize. Click here to claim.,1
Let's meet at 10:00 AM for the project discussion.,0
Your SIM refund is ready. Enter UPI to receive.,1
Don't forget your homework for history tomorrow.,0
I uploaded the file to the shared drive.,0
Get free free subscription. Just provide your card details.,1
I uploaded the file to the shared drive.,0
Electricity bill due: Pay ₹3959 to avoid disconnection.,1
Let me know once you're done with the assignment.,0
Earn ₹1511/day from home. Limited spots!,1
Happy Birthday! Hope you have an awesome day 🎉,0
Earn ₹978/day from home. Limited spots!,1
KYC update required. Click the link to avoid service blockage.,1
KYC update required. Click the link to avoid service blockage.,1
Thanks for your help today!,0
Meeting rescheduled to 5:00 PM. Please confirm.,0
Happy Birthday! Hope you have an awesome day 🎉,0
Meeting rescheduled to 2:30 PM. Please confirm.,0
Meeting rescheduled to 2:30 PM. Please confirm.,0
Earn ₹1427/day from home. Limited spots!,1
Your wallet refund is ready. Enter UPI to receive.,1
Electricity bill due: Pay ₹1495 to avoid disconnection.,1
Happy Birthday! Hope you have an awesome day 🎉,0
Let's meet at 2:30 PM for the project discussion.,0
I uploaded the file to the shared drive.,0
Dinner at my place around 5:00 PM?,0
Electricity bill due: Pay ₹3578 to avoid disconnection.,1
Can you pick up some groceries on your way home?,0
Get free gift card. Just provide your card details.,1
Can you pick up some groceries on your way home?,0
Don't forget your homework for math tomorrow.,0
Earn ₹746/day from home. Limited spots!,1
KYC update required. Click the link to avoid service blockage.,1
Let's meet at 10:00 AM for the project discussion.,0
Happy Birthday! Hope you have an awesome day 🎉,0
Suspicious login detected on your Google account. Reset password now.,1
Let me know once you're done with the assignment.,0
I uploaded the file to the shared drive.,0
Get free mobile recharge. Just provide your card details.,1
"Dear user, your Aadhaar account is at risk. Verify now to avoid suspension.",1
Don't forget your homework for history tomorrow.,0
Suspicious login detected on your Facebook account. Reset password now.,1
Meeting rescheduled to 8:00 PM. Please confirm.,0
Pay ₹4890 customs charge to release your package.,1
"Dear user, your wallet account is at risk. Verify now to avoid suspension.",1
Your loan of ₹3382 has been approved. Pay ₹786 processing fee.,1
Dinner at my place around 2:30 PM?,0
KYC update required. Click the link to avoid service blockage.,1
Reminder: Your class starts at 8:00 PM.,0
I uploaded the file to the shared drive.,0
Your SIM refund is ready. Enter UPI to receive.,1
Your loan of ₹4514 has been approved. Pay ₹268 processing fee.,1
Your wallet refund is ready. Enter UPI to receive.,1
Your Aadhaar refund is ready. Enter UPI to receive.,1
Dinner at my place around 8:00 PM?,0
Pay ₹2126 customs charge to release your package.,1
Reminder: Your class starts at 8:00 PM.,0
Pay ₹521 customs charge to release your package.,1
Earn ₹912/day from home. Limited spots!,1
Let me know once you're done with the assignment.,0
I uploaded the file to the shared drive.,0
Reminder: Your class starts at 8:00 PM.,0
Get free gift card. Just provide your card details.,1
Meeting rescheduled to 5:00 PM. Please confirm.,0
Your payment refund is ready. Enter UPI to receive.,1
Let's meet at 5:00 PM for the project discussion.,0
Your payment refund is ready. Enter UPI to receive.,1
Don't forget your homework for history tomorrow.,0
Can you pick up some groceries on your way home?,0
"Dear user, your payment account is at risk. Verify now to avoid suspension.",1
Let me know once you're done with the assignment.,0
Let's meet at 10:00 AM for the project discussion.,0
Let me know once you're done with the assignment.,0
Earn ₹1406/day from home. Limited spots!,1
Get free free subscription. Just provide your card details.,1
Earn ₹1202/day from home. Limited spots!,1
Happy Birthday! Hope you have an awesome day 🎉,0
Can you pick up some groceries on your way home?,0
Pay ₹1550 customs charge to release your package.,1
Let's meet at 5:00 PM for the project discussion.,0
Meeting rescheduled to 5:00 PM. Please confirm.,0
Let me know once you're done with the assignment.,0
I uploaded the file to the shared drive.,0
Suspicious login detected on your Netflix account. Reset password now.,1
Happy Birthday! Hope you have an awesome day 🎉,0
Earn ₹923/day from home. Limited spots!,1
Pay ₹2139 customs charge to release your package.,1
Pay ₹4057 customs charge to release your package.,1
Let me know once you're done with the assignment.,0
Pay ₹1185 customs charge to release your package.,1
Pay ₹976 customs charge to release your package.,1
Electricity bill due: Pay ₹3540 to avoid disconnection.,1
Don't forget your homework for science tomorrow.,0
Meeting rescheduled to 5:00 PM. Please confirm.,0
Dinner at my place around 5:00 PM?,0
Earn ₹1512/day from home. Limited spots!,1
Get free gift card. Just provide your card details.,1
Happy Birthday! Hope you have an awesome day 🎉,0
Don't forget your homework for English tomorrow.,0
Let's meet at 5:00 PM for the project discussion.,0
Your WhatsApp refund is ready. Enter UPI to receive.,1
"Dear user, your wallet account is at risk. Verify now to avoid suspension.",1
Pay ₹4042 customs charge to release your package.,1
Let me know once you're done with the assignment.,0
KYC update required. Click the link to avoid service blockage.,1
I uploaded the file to the shared drive.,0
Let me know once you're done with the assignment.,0
Get free gift card. Just provide your card details.,1
Don't forget your homework for English tomorrow.,0
KYC update required. Click the link to avoid service blockage.,1
Happy Birthday! Hope you have an awesome day 🎉,0
I uploaded the file to the shared drive.,0
Get free free subscription. Just provide your card details.,1
Meeting rescheduled to 8:00 PM. Please confirm.,0
KYC update required. Click the link to avoid service blockage.,1
Earn ₹1963/day from home. Limited spots!,1
Thanks for your help today!,0
Pay ₹3848 customs charge to release your package.,1
Suspicious login detected on your Amazon account. Reset password now.,1
"Dear user, your SIM account is at risk. Verify now to avoid suspension.",1
Don't forget your homework for history tomorrow.,0
Your Aadhaar refund is ready. Enter UPI to receive.,1
Suspicious login detected on your Instagram account. Reset password now.,1
Electricity bill due: Pay ₹821 to avoid disconnection.,1
"Dear user, your WhatsApp account is at risk. Verify now to avoid suspension.",1
Pay ₹542 customs charge to release your package.,1
Let me know once you're done with the assignment.,0
Don't forget your homework for history tomorrow.,0
Earn ₹1639/day from home. Limited spots!,1
Your loan of ₹4882 has been approved. Pay ₹299 processing fee.,1
Don't forget your homework for history tomorrow.,0
Congratulations! You've won a ₹2897 prize. Click here to claim.,1
Let me know once you're done with the assignment.,0
Your bank refund is ready. Enter UPI to receive.,1
I uploaded the file to the shared drive.,0
KYC update required. Click the link to avoid service blockage.,1
Your loan of ₹930 has been approved. Pay ₹272 processing fee.,1
Meeting rescheduled to 8:00 PM. Please confirm.,0
Don't forget your homework for English tomorrow.,0
Thanks for your help today!,0
Let me know once you're done with the assignment.,0
Happy Birthday! Hope you have an awesome day 🎉,0
Can you pick up some groceries on your way home?,0
Thanks for your help today!,0
Don't forget your homework for English tomorrow.,0
Your loan of ₹3747 has been approved. Pay ₹137 processing fee.,1
Dinner at my place around 8:00 PM?,0
Don't forget your homework for history tomorrow.,0
Let me know once you're done with the assignment.,0
KYC update required. Click the link to avoid service blockage.,1
Don't forget your homework for math tomorrow.,0
Get free gift card. Just provide your card details.,1
Meeting rescheduled to 5:00 PM. Please confirm.,0
I uploaded the file to the shared drive.,0
Suspicious login detected on your Google account. Reset password now.,1
Meeting rescheduled to 2:30 PM. Please confirm.,0
Get free free subscription. Just provide your card details.,1
Your loan of ₹4528 has been approved. Pay ₹274 processing fee.,1
Reminder: Your class starts at 8:00 PM.,0
Happy Birthday! Hope you have an awesome day 🎉,0
KYC update required. Click the link to avoid service blockage.,1
Thanks for your help today!,0
Suspicious login detected on your Amazon account. Reset password now.,1
Earn ₹744/day from home. Limited spots!,1
Thanks for your help today!,0
Dinner at my place around 10:00 AM?,0
Let me know once you're done with the assignment.,0
"Dear user, your bank account is at risk. Verify now to avoid suspension.",1
Your payment refund is ready. Enter UPI to receive.,1
KYC update required. Click the link to avoid service blockage.,1
Suspicious login detected on your Facebook account. Reset password now.,1
Your loan of ₹2342 has been approved. Pay ₹406 processing fee.,1
Can you pick up some groceries on your way home?,0
"Dear user, your payment account is at risk. Verify now to avoid suspension.",1
Suspicious login detected on your Netflix account. Reset password now.,1
Earn ₹785/day from home. Limited spots!,1
Reminder: Your class starts at 2:30 PM.,0
KYC update required. Click the link to avoid service blockage.,1
Reminder: Your class starts at 5:00 PM.,0
Happy Birthday! Hope you have an awesome day 🎉,0
Electricity bill due: Pay ₹3907 to avoid disconnection.,1
Let's meet at 5:00 PM for the project discussion.,0
Pay ₹568 customs charge to release your package.,1
Don't forget your homework for science tomorrow.,0
Your loan of ₹4981 has been approved. Pay ₹905 processing fee.,1
Get free bonus. Just provide your card details.,1
Congratulations! You've won a ₹4324 prize. Click here to claim.,1
Happy Birthday! Hope you have an awesome day 🎉,0
Thanks for your help today!,0
Earn ₹741/day from home. Limited spots!,1
Get free free subscription. Just provide your card details.,1
Don't forget your homework for science tomorrow.,0
Happy Birthday! Hope you have an awesome day 🎉,0
Earn ₹1397/day from home. Limited spots!,1
Electricity bill due: Pay ₹3948 to avoid disconnection.,1
KYC update required. Click the link to avoid service blockage.,1
Congratulations! You've won a ₹3517 prize. Click here to claim.,1
Thanks for your help today!,0
Thanks for your help today!,0
Don't forget your homework for history tomorrow.,0
Earn ₹571/day from home. Limited spots!,1
Dinner at my place around 2:30 PM?,0
Can you pick up some groceries on your way home?,0
Get free bonus. Just provide your card details.,1
Don't forget your homework for history tomorrow.,0
Meeting rescheduled to 10:00 AM. Please confirm.,0
Reminder: Your class starts at 2:30 PM.,0
"Dear user, your wallet account is at risk. Verify now to avoid suspension.",1
Don't forget your homework for history tomorrow.,0
Dinner at my place around 10:00 AM?,0
Let me know once you're done with the assignment.,0
Reminder: Your class starts at 10:00 AM.,0
Suspicious login detected on your Facebook account. Reset password now.,1
Suspicious login detected on your Facebook account. Reset password now.,1
KYC update required. Click the link to avoid service blockage.,1
Your wallet refund is ready. Enter UPI to receive.,1
Happy Birthday! Hope you have an awesome day 🎉,0
Thanks for your help today!,0
Don't forget your homework for history tomorrow.,0
Earn ₹643/day from home. Limited spots!,1
Reminder: Your class starts at 10:00 AM.,0
Let's meet at 2:30 PM for the project discussion.,0
Reminder: Your class starts at 10:00 AM.,0
Can you pick up some groceries on your way home?,0
KYC update required. Click the link to avoid service blockage.,1
Let's meet at 10:00 AM for the project discussion.,0
Let me know once you're done with the assignment.,0
Your payment refund is ready. Enter UPI to receive.,1
I uploaded the file to the shared drive.,0
Electricity bill due: Pay ₹3877 to avoid disconnection.,1
Pay ₹2203 customs charge to release your package.,1
Let me know once you're done with the assignment.,0
Let's meet at 5:00 PM for the project discussion.,0
Meeting rescheduled to 10:00 AM. Please confirm.,0
Your bank refund is ready. Enter UPI to receive.,1
Meeting rescheduled to 10:00 AM. Please confirm.,0
Let me know once you're done with the assignment.,0
Meeting rescheduled to 10:00 AM. Please confirm.,0
Let's meet at 10:00 AM for the project discussion.,0
Don't forget your homework for history tomorrow.,0
Electricity bill due: Pay ₹3079 to avoid disconnection.,1
Can you pick up some groceries on your way home?,0
Earn ₹1250/day from home. Limited spots!,1
Don't forget your homework for history tomorrow.,0
I uploaded the file to the shared drive.,0
Meeting rescheduled to 8:00 PM. Please confirm.,0
Let me know once you're done with the assignment.,0
Pay ₹4394 customs charge to release your package.,1
Happy Birthday! Hope you have an awesome day 🎉,0
Let's meet at 2:30 PM for the project discussion.,0
Let's meet at 10:00 AM for the project discussion.,0
Dinner at my place around 8:00 PM?,0
Earn ₹955/day from home. Limited spots!,1
Let's meet at 2:30 PM for the project discussion.,0
Happy Birthday! Hope you have an awesome day 🎉,0
Get free gift card. Just provide your card details.,1
Pay ₹2956 customs charge to release your package.,1
Get free bonus. Just provide your card details.,1
Earn ₹627/day from home. Limited spots!,1
KYC update required. Click the link to avoid service blockage.,1
Don't forget your homework for science tomorrow.,0
Suspicious login detected on your Google account. Reset password now.,1
Your loan of ₹573 has been approved. Pay ₹649 processing fee.,1
Don't forget your homework for English tomorrow.,0
Let's meet at 10:00 AM for the project discussion.,0
Pay ₹2807 customs charge to release your package.,1
Meeting rescheduled to 8:00 PM. Please confirm.,0
I uploaded the file to the shared drive.,0
"Dear user, your UPI account is at risk. Verify now to avoid suspension.",1
Thanks for your help today!,0
Don't forget your homework for science tomorrow.,0
Congratulations! You've won a ₹3496 prize. Click here to claim.,1
Suspicious login detected on your Amazon account. Reset password now.,1
Dinner at my place around 8:00 PM?,0
Meeting rescheduled to 10:00 AM. Please confirm.,0
Dinner at my place around 2:30 PM?,0
Can you pick up some groceries on your way home?,0
KYC update required. Click the link to avoid service blockage.,1
Earn ₹1882/day from home. Limited spots!,1
Get free gift card. Just provide your card details.,1
I uploaded the file to the shared drive.,0
Suspicious login detected on your Amazon account. Reset password now.,1
Dinner at my place around 5:00 PM?,0
Suspicious login detected on your Facebook account. Reset password now.,1
Meeting rescheduled to 10:00 AM. Please confirm.,0
Earn ₹715/day from home. Limited spots!,1
Your loan of ₹3640 has been approved. Pay ₹155 processing fee.,1
Dinner at my place around 8:00 PM?,0
Your loan of ₹4372 has been approved. Pay ₹616 processing fee.,1
Thanks for your help today!,0
Let me know once you're done with the assignment.,0
Happy Birthday! Hope you have an awesome day 🎉,0
I uploaded the file to the shared drive.,0
Don't forget your homework for history tomorrow.,0
"Dear user, your WhatsApp account is at risk. Verify now to avoid suspension.",1
Earn ₹1868/day from home. Limited spots!,1
Your loan of ₹4090 has been approved. Pay ₹103 processing fee.,1
Meeting rescheduled to 5:00 PM. Please confirm.,0
Electricity bill due: Pay ₹1686 to avoid disconnection.,1
Congratulations! You've won a ₹2827 prize. Click here to claim.,1
Your SIM refund is ready. Enter UPI to receive.,1
Thanks for your help today!,0
Meeting rescheduled to 2:30 PM. Please confirm.,0
Your loan of ₹2461 has been approved. Pay ₹807 processing fee.,1
Get free bonus. Just provide your card details.,1
Your loan of ₹2047 has been approved. Pay ₹967 processing fee.,1
I uploaded the file to the shared drive.,0
Let's meet at 8:00 PM for the project discussion.,0
KYC update required. Click the link to avoid service blockage.,1
"Dear user, your SIM account is at risk. Verify now to avoid suspension.",1
Suspicious login detected on your Amazon account. Reset password now.,1
Reminder: Your class starts at 2:30 PM.,0
Reminder: Your class starts at 5:00 PM.,0
